Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 17:00:43.491256,nan,nan,768,409,1
2025-07-05 17:00:48.523246,nan,nan,546,834,1
2025-07-05 17:00:53.574380,nan,nan,768,59,1
2025-07-05 17:00:58.608075,nan,nan,768,59,1
2025-07-05 17:01:03.642788,nan,nan,769,62,1
2025-07-05 17:01:08.691360,nan,nan,768,105,1
2025-07-05 17:01:13.724051,nan,nan,767,59,1
2025-07-05 17:01:18.755970,nan,nan,768,71,1
2025-07-05 17:01:23.804272,nan,nan,769,89,1
2025-07-05 17:01:28.834767,nan,nan,767,61,1
2025-07-05 17:01:33.865596,nan,nan,767,61,1
2025-07-05 17:01:38.897912,nan,nan,768,63,1
2025-07-05 17:01:43.947070,nan,nan,769,207,1
2025-07-05 17:01:48.979069,nan,nan,769,63,1
2025-07-05 17:01:54.011104,nan,nan,767,63,1
2025-07-05 17:01:59.060666,nan,nan,769,62,1
2025-07-05 17:02:04.093666,nan,nan,766,64,1
2025-07-05 17:02:09.125962,nan,nan,769,64,1
2025-07-05 17:02:14.171665,nan,nan,767,96,1
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 19:08:09.829733,nan,nan,28,28,0
2025-07-05 19:08:14.878442,nan,nan,33,33,0
2025-07-05 19:08:19.906077,nan,nan,28,28,0
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 19:12:06.748244,30.0,31.0,773,84,0
2025-07-05 19:12:11.778196,30.0,31.0,24,39,0
2025-07-05 19:12:16.808938,30.0,30.0,16,40,0
2025-07-05 19:12:21.838873,30.0,31.0,774,40,0
2025-07-05 19:12:26.869421,30.0,31.0,685,41,0
2025-07-05 19:12:31.921735,30.0,31.0,576,106,0
2025-07-05 19:12:36.952489,30.0,95.0,761,40,1
2025-07-05 19:12:41.983252,30.0,51.0,694,37,0
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 19:43:43.165898,31.0,29.0,715,138,0
2025-07-05 19:43:48.187399,30.0,28.0,710,100,0
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 19:49:43.269472,30.0,28.0,645,118,0
2025-07-05 19:49:48.290815,30.0,29.0,649,106,0
2025-07-05 19:49:53.312481,30.0,29.0,645,128,0
2025-07-05 19:49:58.334885,30.0,29.0,651,130,0
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 19:50:56.956129,30.0,28.0,674,109,0
2025-07-05 19:51:01.977269,nan,nan,669,110,0
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 19:51:53.229379,30.0,28.0,665,110,0
2025-07-05 19:51:58.970742,31.0,29.0,601,130,1
2025-07-05 19:52:04.703586,31.0,29.0,254,254,0
2025-07-05 19:52:10.454306,30.0,28.0,3,135,1
2025-07-05 19:52:16.197540,30.0,27.0,5,152,0
2025-07-05 19:52:21.942869,31.0,29.0,629,151,1
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-10 17:40:29.546202,0.0,0.0,66,16,1
2025-07-10 17:40:40.131062,24.0,47.0,167,384,1
2025-07-10 17:40:45.833219,25.0,44.0,128,31,1
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-10 17:42:50.716208,25.0,44.0,139,33,0
2025-07-10 17:42:56.443622,25.0,50.0,118,75,0
2025-07-10 17:43:02.158298,25.0,44.0,156,35,0
2025-07-10 17:43:07.869963,25.0,44.0,174,634,1
2025-07-10 17:43:13.645166,25.0,44.0,223,35,0
2025-07-10 17:43:19.374412,25.0,43.0,2,34,1
2025-07-10 17:43:25.098585,25.0,43.0,232,34,0
2025-07-10 17:43:30.819921,25.0,43.0,243,291,0
2025-07-10 17:43:36.542751,25.0,43.0,222,344,0
2025-07-10 17:43:42.254377,25.0,43.0,243,404,0
2025-07-10 17:43:47.969175,25.0,43.0,252,187,0
2025-07-10 17:43:53.732960,25.0,43.0,210,346,0
2025-07-10 17:43:59.498086,25.0,43.0,244,26,1
2025-07-10 17:44:05.220301,25.0,43.0,225,348,0
2025-07-10 17:44:10.937297,25.0,43.0,211,763,1
2025-07-10 17:44:16.663769,25.0,44.0,277,70,1
2025-07-10 17:44:22.408612,25.0,44.0,765,127,0
